               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  98,            0.023953,            0.022262,           0.0039635,             0.86401,             0.70977,             0.78267,             0.50598,            0.039447,            0.028049,           0.0091688,           0.0051985,           0.0051985,           0.0051985
                  99,            0.023907,            0.021487,           0.0041206,             0.86644,             0.70799,             0.78493,             0.50687,            0.039367,            0.028197,           0.0090669,            0.005149,            0.005149,            0.005149
                 100,            0.023865,            0.021948,           0.0041709,             0.83971,             0.71517,             0.78043,             0.50841,            0.039569,            0.028437,           0.0095395,           0.0050995,           0.0050995,           0.0050995
                 101,            0.023461,            0.021721,           0.0039142,             0.86142,             0.70261,             0.76966,             0.50186,            0.039748,            0.028978,           0.0099312,             0.00505,             0.00505,             0.00505
                 102,             0.02373,            0.021476,           0.0039941,             0.85802,             0.70579,             0.77374,             0.50169,            0.039654,            0.028952,           0.0098116,           0.0050005,           0.0050005,           0.0050005
                 103,             0.02338,            0.021865,           0.0038759,             0.83888,             0.72557,             0.77601,             0.49713,            0.039522,            0.029031,           0.0097779,            0.004951,            0.004951,            0.004951
                 104,            0.023349,            0.021544,           0.0040239,             0.86126,             0.70339,             0.77666,             0.49716,            0.039699,            0.029021,           0.0097494,           0.0049015,           0.0049015,           0.0049015
                 105,            0.023282,            0.021341,           0.0038724,             0.85443,             0.71612,             0.77877,              0.4962,            0.039962,            0.028644,           0.0095093,            0.004852,            0.004852,            0.004852
                 106,            0.023089,            0.021199,            0.003938,             0.86872,             0.70392,             0.78102,             0.49797,            0.039808,            0.028874,           0.0095869,           0.0048025,           0.0048025,           0.0048025
                 107,            0.023095,            0.021353,           0.0039958,             0.85331,             0.72194,             0.78164,             0.49739,            0.039785,            0.028649,           0.0096219,            0.004753,            0.004753,            0.004753
                 108,            0.023071,            0.021181,           0.0039486,             0.87084,             0.70107,             0.77786,             0.49787,             0.03991,            0.028933,           0.0096367,           0.0047035,           0.0047035,           0.0047035
                 109,            0.022891,            0.021561,           0.0038037,             0.87991,             0.69629,             0.78038,             0.49965,            0.039965,            0.028896,           0.0094809,            0.004654,            0.004654,            0.004654
                 110,            0.022856,            0.021303,           0.0037456,             0.86977,             0.70344,             0.78131,             0.50127,            0.039868,             0.02898,           0.0096638,           0.0046045,           0.0046045,           0.0046045
